REFRIGERANTE COCA COLA PET 25;R$ 1,50;MERCADINHO ADAO EVA;RUA PROFESSORA RAIMUNDA MAGALHAES, NRO 103, COROADO II, MANAUS-AM, CEP 69080-271
REFRIGERANTE GUARANA REAL 350ML;R$ 1,50;COMERCIAL DA NEGUINHA;RUA MARQUESA DE SANTOS, NRO 453, JORGE TEIXEIRA, MANAUS-AM, CEP 69080-000
REFIRIGERANTE REGENTE PET 350ML;R$ 1,50;ESQUINA DAS FRUTAS E VERDURAS;R LUIS OTAVIO, NRO 002, SANTA ETELVINA, A, MANAUS-AM, CEP 69059-320
REFRIGERANTE CITRUS;R$ 1,50;COM DE LATI E FRIOS SAO JORGE LTDA;RUA PAULO EDUARDO DE LIMA, NRO 1105, CIDADE NOVA, MANAUS-AM, CEP 69095-670
REFRIGERANTE MAGISTRAL TRADICIONAL PET 350ML;R$ 1,50;VAREJAO VIEIRALVES;AV JOAO VALERIO, NRO 664, NOSSA SENHORA DAS GRACAS, MANAUS-AM, CEP 69053-140
REFRIGERANTE MAGISTRAL REGENTE 350 ML;R$ 1,50;MERCADINHO SALVADOR;R JOAO PAULO I, NRO 336, ALVORADA, MANAUS-AM, CEP 69042-210
REFRIGERANTE MAGISTRAL 350 ML GOLD...;R$ 1,50;MERCADINHO E PANIFICADORA GASPAR;RUA JAMAICA, QD 175, CONJ. NOVA CIDADE, NRO 91, CIDADE NOVA, MANAUS-AM, CEP 69000-000
REFRIGERANTE DE GUARANA REAL GOLD 350ML;R$ 1,50;MERCADINHO E ACOUGUE PAULÞO;RUA ASA BRANCA, NRO 21, TARUMA, MANAUS-AM, CEP 69041-180
REFRIGERANTE G. L. 3;R$ 1,50;PANIFICADORA BARCELONA;RUA PROF. RAYMUNDA MAGALHAES, NRO 105, COROADO II, MANAUS-AM, CEP 69070-280
REFRIGERANTE - REAL 350ML;R$ 1,50;MERCADINHO JOAO DOURADO;RUA JOAO DOURADO, NRO 036, NOVO ALEIXO, QD F31 LT36, MANAUS-AM, CEP 69098-198
REFRIGERANTE FLESH LARANJA 350ML;R$ 1,50;ESQUINA DAS FRUTAS E VERDURAS;R LUIS OTAVIO, NRO 002, SANTA ETELVINA, A, MANAUS-AM, CEP 69059-320
