ACUCAR Q SABOR 1KG;R$ 1,79;J C DA S COSTA COMERCIO;RUA 11, NRO 035, SAO JOSE 1, MANAUS-AM, CEP 69086-120
ACUCAR ITAMARATI 1 KG;R$ 1,79;MERCADINHO VALE DO SOL;RUA DA PASSAGEM, NRO 012, JARDIM PETROPOLIS, MANAUS-AM, CEP 69067-332
ACUCAR LESTE/DOCE/QUERUBIM 1KG;R$ 1,79;BAZAR NENNY;R. PAULO LOPES, NRO 182, COROADO II, MANAUS-AM, CEP 69080-340
ACUCAR DOCE DIA/ 1K;R$ 1,79;BAZAR NENNY;R. PAULO LOPES, NRO 182, COROADO II, MANAUS-AM, CEP 69080-340
ACUCAR ACUCARLESTE 1KG;R$ 1,79;MERCANTIL & ACOGUE BOM PRECO;AV SANTA MARIA DA PAZ, NRO 637, CIDADE DE DEUS, MANAUS-AM, CEP 69099-644
ACUCAR CRISTAL ESPEC DOCE DIA 1KG;R$ 1,79;Loja 122 - Manaus;AV AUTAZ MIRIM, NRO 8755, NOVO ALEIXO, MANAUS-AM, CEP 69099-045
ACUCAR DOCE DIA 1KG 2918;R$ 1,79;MERCADINHO E ACOUGUE 3 IRMAOS;AVENIDA ALECRIM, NRO 140, JOAO PAULO II, MANAUS-AM, CEP 69000-000
ACUCAR DOCE DIA 1KG;R$ 1,79;CAMPEAO SUPERMERCADOS LTDA;RUA JOAO PAULO I, NRO 001, ALVORADA, MANAUS-AM, CEP 69043-000
ACUCAR GOL 1K [MERCADINHO];R$ 1,80;MERCADINHO GANHA POUCO;RUA ANADOR, NRO 165, JOAO PAULO II, MANAUS-AM, CEP 69088-446
ACUCAR CRISTAL OTIMO 1KG;R$ 1,80;SUPERMECADO CEZAR CIA LTDA;RUA 7B, NRO 001, SAO JOSE OPER., MANAUS-AM, CEP 69086-083
ACUCAR DOCE DIA 1KG;R$ 1,80;MERCADINHO ADRIEL;RUA RIO VALPES, NRO 103, NOVO ALEIXO, MANAUS-AM
ACUCAR LESTE 1KG;R$ 1,80;COMERCIAL BARROSO LEITE;RUA SANTA ANA, NRO 050, TERRA NOVA II, MANAUS-AM, CEP 69093-497
ACUCAR Q SABOR 1KG 410008 (DIVERSOS);R$ 1,80;MERCADINHO SAO GABRIEL;RUA MARQUESA DE SANTOS, NRO 475, COROADO 1, QUADRA 22, MANAUS-AM, CEP 69080-000
ACUCAR DOCE DIA 1KG;R$ 1,80;COMERCIAL BARROSO LEITE;RUA SANTA ANA, NRO 050, TERRA NOVA II, MANAUS-AM, CEP 69093-497
ACUCAR LESTE 1KG;R$ 1,85;FRIGORIFICO FAC;RUA ARICA, NRO 260, MAUAZINHO, MANAUS-AM
ACUCAR ITAJA;R$ 1,85;MERCADINHO QUEIROZ;RUA TUPINIQUIM, NRO 3, CIDADE NOVA, FLORESTAL, MANAUS-AM, CEP 69093-056
ACUCAR CRISTAL TIO OMAR 1KG;R$ 1,85;MERCADINHO POPULAR;AV. ARICA, NRO 128, MAUAZINHO, MANAUS-AM, CEP 69047-010
