BOLO DE MILHO FATIA;2.0;PANIFICADORA KATIUCIA;RUA FIALHO D'ALMEIDA, NRO 056, COMPENSA, MANAUS-AM, CEP 69035-070
BOLO DE MACAXEIRA FATIA;2.0;PANIFICADORA KATIUCIA;RUA FIALHO D'ALMEIDA, NRO 056, COMPENSA, MANAUS-AM, CEP 69035-070
BOLO FLORESTA NEGRA;2.0;PANIFICADORA KATIUCIA;AV. CONSTANTINO NERY, NRO 110, CENTRO, MANAUS-AM, CEP 69000-000
BAR DE CEREAIS NUTRY BOLO CHOC;2.0;POSTO TORQUATO II;AV TORQUATO TAPAJOS, NRO 7841, TARUMA, TARUMA, MANAUS-AM, CEP 69041-025
BICO ALUMINIO PARA DECORAR BOLO;2.0;TROPICAL MULTILOJA MATRIZ;RUA GUILHERME MOREIRA ANTIGA PRACA TENRE, NRO 017, CENTRO, NAO INFORMADO, MANAUS-AM, CEP 69005-280
BOLO - QUEIJO/MILHO/LEITE FATIA;2.0;MERCADINHO JOAO DOURADO;RUA JOAO DOURADO, NRO 036, NOVO ALEIXO, QD F31 LT36, MANAUS-AM, CEP 69098-198
BOLO PODRE DE 1 A 30 UNIDADES;2.0;PANIFICADORA CONDE LTDA - FILIAL 05;AV. PROFESSOR NILTON LINS, NRO 1591, FLORES, LOJA: 12, MANAUS-AM, CEP 69058-030
BOLO DE MILHO UN;2.0;PANIFICADORA KATIUCIA;AV. CONSTANTINO NERY, NRO 110, CENTRO, MANAUS-AM, CEP 69000-000
BOLO DE MACAXEIRA UN;2.0;PANIFICADORA KATIUCIA;RUA FIALHO D'ALMEIDA, NRO 056, COMPENSA, MANAUS-AM, CEP 69035-070
BOLO FLORESTA NEGRA;2.0;PANIFICADORA KATIUCIA;RUA FIALHO D'ALMEIDA, NRO 056, COMPENSA, MANAUS-AM, CEP 69035-070
BOLO ABACAXI FATIA U;2.0;PANIFICADORA KATIUCIA;RUA FIALHO D'ALMEIDA, NRO 056, COMPENSA, MANAUS-AM, CEP 69035-070
BOLO DE QUEIJO;2.0;PANIFICADORA KATIUCIA;RUA FIALHO D'ALMEIDA, NRO 056, COMPENSA, MANAUS-AM, CEP 69035-070
